origem,destino,custo
1,2,4
1,3,1
1,4,9
1,5,8
1,6,8
1,7,5
1,8,4
1,9,18
1,10,3
2,1,19
2,3,14
2,4,2
2,5,1
2,6,3
2,7,7
2,8,8
2,9,17
2,10,20
3,1,1
3,2,18
3,4,7
3,5,18
3,6,14
3,7,8
3,8,15
3,9,19
3,10,9
4,1,1
4,2,6
4,3,14
4,5,11
4,6,9
4,7,5
4,8,7
4,9,11
4,10,4
5,1,3
5,2,13
5,3,4
5,4,12
5,6,12
5,7,20
5,8,9
5,9,2
5,10,15
6,1,18
6,2,4
6,3,13
6,4,3
6,5,18
6,7,10
6,8,20
6,9,12
6,10,19
7,1,7
7,2,3
7,3,2
7,4,8
7,5,10
7,6,3
7,8,8
7,9,4
7,10,13
8,1,9
8,2,15
8,3,12
8,4,6
8,5,12
8,6,12
8,7,7
8,9,9
8,10,3
9,1,20
9,2,6
9,3,18
9,4,8
9,5,6
9,6,15
9,7,13
9,8,9
9,10,18
10,1,8
10,2,11
10,3,2
10,4,8
10,5,2
10,6,11
10,7,13
10,8,9
10,9,3
